label,aapp,acab,acty,aggp,amas,amph,anab,anim,anst,antb,arch,bacs,bact,bdsu,bdsy,bhvr,biof,bird,blor,bmod,bodm,bpoc,bsoj,celc,celf,cell,cgab,chem,chvf,chvs,clas,clna,clnd,cnce,comd,crbs,diap,dora,drdd,dsyn,edac,eehu,elii,emod,emst,enty,enzy,euka,evnt,famg,ffas,fish,fndg,fngs,food,ftcn,genf,geoa,gngm,gora,grpa,grup,hcpp,hcro,hlcs,hops,horm,humn,idcn,imft,inbe,inch,inpo,inpr,irda,lang,lbpr,lbtr,mamm,mbrt,mcha,medd,menp,mnob,mobd,moft,mosq,neop,nnon,npop,nusq,ocac,ocdi,orch,orga,orgf,orgm,orgt,ortf,patf,phob,phpr,phsf,phsu,plnt,podg,popg,prog,pros,qlco,qnco,rcpt,rept,resa,resd,rnlw,sbst,shro,socb,sosy,spco,tisu,tmco,topp,virs,vita,vtbt
Fake,1,0,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,1,0,1,0,4,0,0,0,4,0,3,0,0,0,0,0,1,1,0,2,1,0,0,25,0,2,34,0,15,2,2,2,0,1,3,0,1,0,1,19,0,2,0,2,9,0,0,1,0,1,0,1,1,8,23,0,0,0,0,0,1,0,3,6,1,2,2,0,10,0,0,0,3,0,4,1,6,8,3,0,35,27,0,0,4,1,0,0,2,7,1,9,0,25,4,1,1,0
TRUE,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,13,0,12,1,0,0,0,1,4,0,0,0,0,5,1,1,0,0,8,0,0,0,0,0,0,1,1,1,5,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,1,0,2,0,3,1,0,3,5,0,21,8,0,0,0,0,0,0,0,2,0,4,0,10,3,2,0,0
Fake,1,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,5,0,2,0,2,1,0,0,0,1,2,0,0,0,0,10,0,3,20,0,9,2,2,0,1,1,0,0,0,0,0,22,0,5,1,0,9,0,0,0,0,0,0,0,5,12,10,1,0,0,0,0,3,0,5,6,1,1,1,0,4,0,2,0,4,1,3,0,0,3,5,0,28,28,0,0,0,0,0,2,0,5,0,6,0,18,3,1,0,0
TRUE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
TRUE,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,1,0,0,0,0,0,1,3,2,0,0,0,2,0,0,0,1,2,1,1,0,0,3,0,1,0,0,0,2,0,0,3,3,0,13,7,0,0,0,1,0,0,0,3,0,5,0,3,2,1,0,0
Fake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
TRUE,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,5,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1,6,0,0,7,2,0,0,1,0,0,0,0,2,1,2,0,1,2,2,0,0
TRUE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,5,1,0,0,0,1,0,0,0,4,0,1,0,1,0,0,0,0
TRUE,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,1,1,1,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,1,0,0,3,3,0,4,2,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0
TRUE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,5,0,2,1,0,0,0,1,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
TRUE,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,3,0,3,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0
TRUE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,2,5,0,0,1,0,0,0,0,1,1,0,0,1,2,1,0,0
TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,5,8,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,0
TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,0,0,0,1,0,1,0,1,0,3,0,1,0,0
TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
TRUE,2,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,9,1,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,19,0,2,24,0,16,1,3,0,1,1,3,0,0,0,0,8,1,2,0,0,18,0,0,0,0,0,0,0,14,5,19,0,0,0,0,0,0,0,4,2,1,2,1,0,5,0,1,0,4,2,2,0,1,3,7,0,33,18,0,0,1,0,0,2,0,8,0,8,0,6,6,1,0,0
TRUE,0,0,8,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,6,0,1,24,0,18,1,1,0,0,1,1,0,0,0,1,10,0,0,1,1,9,0,0,2,0,0,0,0,1,2,9,0,0,0,1,0,8,0,0,2,3,1,1,0,4,0,1,0,2,0,1,0,0,3,3,0,22,14,0,0,0,0,1,0,0,3,0,8,1,12,0,3,0,0
TRUE,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,12,0,1,16,0,9,2,2,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,1,0,0,5,0,6,0,0,0,0,0,0,0,4,1,1,1,0,1,2,0,1,0,3,0,2,0,1,3,1,0,14,14,0,0,0,0,1,0,0,8,0,8,0,6,2,2,0,0
TRUE,1,0,8,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,1,0,2,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,8,0,1,9,0,3,2,0,0,1,1,0,0,0,0,0,11,1,0,1,0,4,0,0,1,0,0,0,1,4,3,6,0,0,0,1,1,0,0,5,3,1,1,1,0,3,0,1,0,0,0,4,0,0,4,1,0,23,18,0,0,5,0,0,1,0,2,0,2,0,11,3,1,0,0
Fake,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Fake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
Fake,2,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,8,0,0,9,0,3,2,0,0,0,1,0,0,0,0,1,7,0,1,0,0,9,0,0,0,0,0,0,0,2,7,3,1,0,0,0,0,2,0,1,6,0,1,4,0,4,0,1,0,3,0,1,0,0,4,1,0,14,9,0,0,0,0,0,1,0,2,0,3,0,8,1,0,0,0
Fake,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
Fake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TRUE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,5,0,1,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,1,4,2,0,4,10,0,0,1,0,0,0,0,1,0,3,0,3,2,1,0,0
TRUE,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,12,0,8,0,1,0,0,0,5,0,0,0,0,6,1,0,0,0,6,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,1,0,0,2,1,0,1,0,4,0,1,0,5,0,2,0,1,8,2,0,7,14,0,0,0,0,0,0,0,3,1,5,0,7,3,2,0,0
Fake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
Fake,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
Fake,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,8,0,7,11,0,19,2,1,0,0,0,3,0,1,0,0,6,0,1,0,0,2,0,0,0,0,0,0,0,3,3,7,2,1,0,0,0,2,0,3,3,0,0,3,1,3,0,0,0,3,0,0,2,0,14,1,0,25,14,0,0,0,0,1,2,0,2,0,8,0,8,0,1,0,0
Fake,1,0,13,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,3,0,0,0,0,0,1,0,1,0,2,0,0,13,0,1,12,2,21,3,2,0,0,1,0,0,1,0,1,18,1,4,0,2,14,0,0,1,0,1,0,0,1,6,8,0,0,0,0,1,1,0,3,3,3,3,3,0,8,0,0,1,4,1,4,0,0,10,9,0,26,18,0,1,4,0,3,1,0,4,1,13,1,13,5,3,1,0
Fake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,3,4,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
Fake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
Fake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fake,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0
TRUE,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,2,0,0,10,0,0,20,0,8,2,0,0,1,0,2,0,0,0,0,8,0,0,0,0,2,0,0,1,0,3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,2,3,0,19,4,0,0,0,0,0,1,0,1,5,3,0,16,1,3,0,0
TRUE,1,0,6,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,2,0,0,12,0,2,25,0,13,1,0,0,0,0,5,0,0,0,1,9,1,0,0,0,8,0,1,0,0,1,0,0,1,2,3,0,0,0,0,0,0,1,1,2,0,2,2,2,2,0,1,0,2,0,4,0,1,6,1,0,28,18,0,0,2,1,0,0,0,1,5,7,0,20,3,4,0,0
TRUE,3,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,1,0,7,0,0,0,0,0,10,0,0,0,0,0,1,0,1,0,1,0,0,10,0,1,16,0,15,3,0,1,2,0,2,0,0,0,2,12,2,0,0,0,11,1,0,0,0,1,0,0,0,6,9,1,0,0,1,0,2,0,3,0,1,1,1,1,5,0,0,0,4,0,3,0,0,6,6,0,27,10,0,0,1,0,0,0,0,3,1,1,0,15,2,5,0,0
TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,11,0,0,0,0,0,0,0,2,0,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,3,2,0,10,2,0,0,0,0,0,0,0,0,2,1,0,5,2,0,0,0
TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0
TRUE,1,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,5,1,0,0,0,0,0,1,0,0,1,1,5,0,0,0,1,0,2,0,1,0,0,0,1,1,0,0,1,0,0,12,0,1,10,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,3,1,3,0,0,1,0,0,0,0,6,3,7,0,0,0,0,0,2,0,1,0,1,1,1,0,1,0,1,0,0,1,7,0,0,2,2,0,14,12,0,0,0,0,0,2,0,2,3,3,1,10,2,3,0,0
TRUE,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,10,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,2,0,0,12,2,0,0,0,0,0,1,0,1,3,1,0,3,1,1,0,0
Fake,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,4,0,1,0,3,0,1,0,0,3,0,0,7,3,0,0,1,0,0,0,0,0,1,5,0,3,1,1,0,0
Fake,1,0,5,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,1,0,1,5,1,0,0,3,0,1,0,0,0,0,0,7,0,0,0,2,0,10,0,1,1,0,0,0,1,0,2,1,0,0,19,0,2,23,0,6,4,1,0,0,0,2,0,1,0,1,6,0,1,0,1,6,0,1,1,0,0,0,1,2,2,5,0,0,0,0,0,0,0,1,1,2,2,3,2,1,1,2,0,1,2,1,0,0,3,2,0,42,27,0,0,3,0,0,0,0,2,8,11,2,23,2,9,0,0
Fake,2,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,0,0,1,0,0,1,1,0,2,0,0,0,16,0,0,16,0,4,3,1,1,0,0,4,0,0,0,0,8,1,2,0,1,10,0,1,1,0,0,0,0,4,5,9,1,0,0,0,0,0,2,4,2,2,1,1,1,5,0,3,0,3,1,7,0,1,3,3,0,33,16,0,0,0,0,0,0,0,4,5,6,0,15,4,2,1,0
Fake,3,0,14,1,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,1,0,11,0,0,0,0,0,0,1,2,1,1,0,0,18,0,1,29,0,11,2,2,0,0,2,1,0,1,0,0,23,1,2,0,2,12,0,1,2,0,3,0,0,1,3,8,4,1,0,0,0,2,0,3,5,0,0,4,1,4,0,1,1,7,1,2,0,0,6,11,0,27,19,0,0,4,0,1,1,0,7,0,9,0,15,2,7,0,0
Fake,2,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,6,0,0,1,0,0,0,2,0,0,1,0,0,15,0,0,21,0,5,0,0,0,0,0,1,0,1,0,0,10,0,2,1,2,5,0,1,1,0,1,0,1,1,4,2,2,0,0,0,0,1,0,1,2,3,2,2,0,1,1,0,0,2,1,3,0,0,5,3,0,22,16,0,0,0,0,0,0,0,4,1,3,2,14,0,2,0,0
Fake,8,1,16,0,1,0,0,3,0,0,0,4,1,0,1,1,0,0,0,5,1,3,0,1,2,3,0,1,0,0,0,4,0,13,2,0,0,1,0,8,1,0,2,0,1,0,1,2,1,3,0,0,14,0,1,44,5,10,9,1,1,0,0,3,0,1,0,2,29,3,2,0,3,27,3,0,3,1,6,2,0,6,11,12,1,2,1,0,4,3,2,4,3,3,2,2,2,6,0,2,1,5,0,3,1,1,7,6,0,60,22,1,1,9,0,1,3,0,4,1,12,1,27,8,5,0,0
Fake,4,0,7,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1,0,0,0,0,0,1,1,0,0,1,0,3,0,1,15,0,3,2,0,0,0,0,1,0,0,0,0,18,2,0,0,1,6,0,0,0,1,2,0,0,1,2,3,0,0,0,0,0,0,1,4,2,2,0,0,0,1,0,0,1,0,0,0,0,0,3,3,0,20,7,0,1,2,1,0,0,0,3,0,4,0,8,1,2,0,0
Fake,4,0,8,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,0,6,1,0,0,1,0,6,0,0,0,0,1,0,1,1,1,2,0,0,21,0,1,17,0,3,4,1,0,0,0,3,0,0,0,1,18,3,1,0,1,15,0,0,0,1,1,1,0,3,6,7,3,1,0,0,0,0,2,4,4,3,0,4,1,3,0,1,1,2,0,4,0,1,9,4,0,32,13,0,1,3,0,0,0,0,6,0,8,0,13,1,2,0,0
Fake,2,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,2,0,0,1,1,0,0,2,0,2,0,0,2,1,0,4,4,0,0,2,0,0,0,0,1,0,0,0,5,1,4,0,0
Fake,11,0,15,2,0,0,0,1,1,0,0,3,0,1,0,0,3,0,0,6,0,7,0,1,0,4,0,1,1,0,1,4,0,11,0,0,0,3,0,12,0,2,4,0,2,1,2,2,2,4,0,0,34,0,1,61,1,35,11,4,1,2,1,11,0,2,3,3,42,15,2,0,3,29,1,0,4,0,2,1,0,6,13,21,2,0,0,2,2,4,0,4,9,6,3,10,2,16,0,3,1,3,4,16,2,2,25,9,0,65,44,0,0,16,0,0,4,0,11,0,19,1,33,14,3,0,0
